Column|suffix|Analysis_Column|OriginalColumn|Format|QuestionText|dtcode
q146_2_northamerica|_northamerica|q146_26060|q146_2|CURRENCY|NA: Senior living / aged care / health care - Separate accounts investing directly into real estate|30_37
q146_3_northamerica|_northamerica|q146_36161|q146_3|CURRENCY|NA: Senior living / aged care / health care - Separate accounts investing into indirect vehicles|30_38
q146_4_northamerica|_northamerica|q146_46262|q146_4|CURRENCY|NA: Senior living / aged care / health care - Joint ventures and club deals|30_39
q146_5_northamerica|_northamerica|q146_56363|q146_5|CURRENCY|NA: Senior living / aged care / health care - Funds of funds|30_40
q146_6_northamerica|_northamerica|q146_66464|q146_6|CURRENCY|NA: Senior living / aged care / health care - Non-listed debt products|30_41
q14ROW6_Total_northamerica|_northamerica|q14ROW6_Total6565|q14ROW6_Total|CURRENCY|NA: TOTAL Senior living / aged care / health care|30_42
q147_1_northamerica|_northamerica|q147_16666|q147_1|CURRENCY|NA: Hotel / leisure - Non-listed/ commingled real estate funds/private REITs|30_43
q147_2_northamerica|_northamerica|q147_26767|q147_2|CURRENCY|NA: Hotel / leisure - Separate accounts investing directly into real estate|30_44
q147_3_northamerica|_northamerica|q147_36868|q147_3|CURRENCY|NA: Hotel / leisure - Separate accounts investing into indirect vehicles|30_45
q147_4_northamerica|_northamerica|q147_46969|q147_4|CURRENCY|NA: Hotel / leisure - Joint ventures and club deals|30_46
q147_5_northamerica|_northamerica|q147_57070|q147_5|CURRENCY|NA: Hotel / leisure - Funds of funds|30_47
q147_6_northamerica|_northamerica|q147_67171|q147_6|CURRENCY|NA: Hotel / leisure - Non-listed debt products|30_48
q14ROW7_Total_northamerica|_northamerica|q14ROW7_Total7272|q14ROW7_Total|CURRENCY|NA: TOTAL Hotel / leisure|30_49
q148_1_northamerica|_northamerica|q148_17373|q148_1|CURRENCY|NA: Other (incl land, parking, self storage) - Non-listed/ commingled real estate funds/private REITs|30_50
q148_2_northamerica|_northamerica|q148_27474|q148_2|CURRENCY|NA: Other (incl land, parking, self storage) - Separate accounts investing directly into real estate|30_51
q148_3_northamerica|_northamerica|q148_37575|q148_3|CURRENCY|NA: Other (incl land, parking, self storage) - Separate accounts investing into indirect vehicles|30_52
q148_4_northamerica|_northamerica|q148_47676|q148_4|CURRENCY|NA: Other (incl land, parking, self storage) - Joint ventures and club deals|30_53
q148_5_northamerica|_northamerica|q148_57777|q148_5|CURRENCY|NA: Other (incl land, parking, self storage) - Funds of funds|30_54
q148_6_northamerica|_northamerica|q148_67878|q148_6|CURRENCY|NA: Other (incl land, parking, self storage) - Non-listed debt products|30_55
q14ROW8_Total_northamerica|_northamerica|q14ROW8_Total7979|q14ROW8_Total|CURRENCY|NA: TOTAL Other (incl land, parking, self storage)|30_56
q14COL1_Total_northamerica|_northamerica|q14COL1_Total8080|q14COL1_Total|CURRENCY|NA: TOTAL Non-listed/ commingled real estate funds/private REITs|30_57
q14COL2_Total_northamerica|_northamerica|q14COL2_Total8181|q14COL2_Total|CURRENCY|NA: TOTAL Separate accounts investing directly into real estate|30_58
q14COL3_Total_northamerica|_northamerica|q14COL3_Total8282|q14COL3_Total|CURRENCY|NA: TOTAL Separate accounts investing into indirect vehicles|30_59
q14COL4_Total_northamerica|_northamerica|q14COL4_Total8383|q14COL4_Total|CURRENCY|NA: TOTAL Joint ventures and club deals|30_60
q14COL5_Total_northamerica|_northamerica|q14COL5_Total8484|q14COL5_Total|CURRENCY|NA: TOTAL Funds of funds|30_61
q14COL6_Total_northamerica|_northamerica|q14COL6_Total8585|q14COL6_Total|CURRENCY|NA: TOTAL Non-listed debt products|30_62
q14GRANDTotal_northamerica|_northamerica|q14GRANDTotal8686|q14GRANDTotal|CURRENCY|NA: TOTAL Raised by targeted sector|30_63
qBothStrategyGRANDTotal_northamerica|_northamerica|qBothStrategyGRANDTotal8787|qBothStrategyGRANDTotal|CURRENCY|Total Capital Raised in 2020 for your North American strategy (Shown only when BOTH strategies selected in q12)|30_64
_northamerica|_northamerica||||For your North American strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by investment style (million)? |31
q151_1_northamerica|_northamerica|q151_18888|q151_1|CURRENCY|NA: Core / Senior debt - Non-listed/ commingled real estate funds/private REITs|31_1
q151_2_northamerica|_northamerica|q151_28989|q151_2|CURRENCY|NA: Core / Senior debt - Separate accounts investing directly into real estate|31_2
q151_3_northamerica|_northamerica|q151_39090|q151_3|CURRENCY|NA: Core / Senior debt - Separate accounts investing into indirect vehicles|31_3
q151_4_northamerica|_northamerica|q151_49191|q151_4|CURRENCY|NA: Core / Senior debt - Joint ventures and club deals|31_4
q151_5_northamerica|_northamerica|q151_59292|q151_5|CURRENCY|NA: Core / Senior debt - Funds of funds|31_5
q151_6_northamerica|_northamerica|q151_69393|q151_6|CURRENCY|NA: Core / Senior debt - Non-listed debt products|31_6
q15ROW1_Total_northamerica|_northamerica|q15ROW1_Total9494|q15ROW1_Total|CURRENCY|NA: TOTAL Core / Senior debt|31_7
q152_1_northamerica|_northamerica|q152_19595|q152_1|CURRENCY|NA: Value added / Junior and other subordinated debt - Non-listed/ commingled real estate funds/private REITs|31_8
q152_2_northamerica|_northamerica|q152_29696|q152_2|CURRENCY|NA: Value added / Junior and other subordinated debt - Separate accounts investing directly into real estate|31_9
q152_3_northamerica|_northamerica|q152_39797|q152_3|CURRENCY|NA: Value added / Junior and other subordinated debt - Separate accounts investing into indirect vehicles|31_10
q152_4_northamerica|_northamerica|q152_49898|q152_4|CURRENCY|NA: Value added / Junior and other subordinated debt - Joint ventures and club deals|31_11
q152_5_northamerica|_northamerica|q152_59999|q152_5|CURRENCY|NA: Value added / Junior and other subordinated debt - Funds of funds|31_12
q152_6_northamerica|_northamerica|q152_6100100|q152_6|CURRENCY|NA: Value added / Junior and other subordinated debt - Non-listed debt products|31_13
q15ROW2_Total_northamerica|_northamerica|q15ROW2_Total101101|q15ROW2_Total|CURRENCY|NA: TOTAL Value added / Junior and other subordinated debt|31_14
q153_1_northamerica|_northamerica|q153_1102102|q153_1|CURRENCY|NA: Opportunistic / Mezzanine debt - Non-listed/ commingled real estate funds/private REITs|31_15
q153_2_northamerica|_northamerica|q153_2103103|q153_2|CURRENCY|NA: Opportunistic / Mezzanine debt - Separate accounts investing directly into real estate|31_16
q153_3_northamerica|_northamerica|q153_3104104|q153_3|CURRENCY|NA: Opportunistic / Mezzanine debt - Separate accounts investing into indirect vehicles|31_17
q153_4_northamerica|_northamerica|q153_4105105|q153_4|CURRENCY|NA: Opportunistic / Mezzanine debt - Joint ventures and club deals|31_18
q153_5_northamerica|_northamerica|q153_5106106|q153_5|CURRENCY|NA: Opportunistic / Mezzanine debt - Funds of funds|31_19
q153_6_northamerica|_northamerica|q153_6107107|q153_6|CURRENCY|NA: Opportunistic / Mezzanine debt - Non-listed debt products|31_20
q15ROW3_Total_northamerica|_northamerica|q15ROW3_Total108108|q15ROW3_Total|CURRENCY|NA: TOTAL Opportunistic / Mezzanine debt|31_21
q154_1_northamerica|_northamerica|q154_1109109|q154_1|CURRENCY|NA: Mixed strategies - Non-listed/ commingled real estate funds/private REITs|31_22
q154_2_northamerica|_northamerica|q154_2110110|q154_2|CURRENCY|NA: Mixed strategies - Separate accounts investing directly into real estate|31_23
q154_3_northamerica|_northamerica|q154_3111111|q154_3|CURRENCY|NA: Mixed strategies - Separate accounts investing into indirect vehicles|31_24
q154_4_northamerica|_northamerica|q154_4112112|q154_4|CURRENCY|NA: Mixed strategies - Joint ventures and club deals|31_25
q154_5_northamerica|_northamerica|q154_5113113|q154_5|CURRENCY|NA: Mixed strategies - Funds of funds|31_26
q154_6_northamerica|_northamerica|q154_6114114|q154_6|CURRENCY|NA: Mixed strategies - Non-listed debt products|31_27
q15ROW4_Total_northamerica|_northamerica|q15ROW4_Total115115|q15ROW4_Total|CURRENCY|NA: TOTAL Mixed strategies|31_28
q15COL1_Total_northamerica|_northamerica|q15COL1_Total116116|q15COL1_Total|CURRENCY|NA: TOTAL Non-listed/ commingled real estate funds/private REITs|31_29
q15COL2_Total_northamerica|_northamerica|q15COL2_Total117117|q15COL2_Total|CURRENCY|NA: TOTAL Separate accounts investing directly into real estate|31_30
q15COL3_Total_northamerica|_northamerica|q15COL3_Total118118|q15COL3_Total|CURRENCY|NA: TOTAL Separate accounts investing into indirect vehicles|31_31
q15COL4_Total_northamerica|_northamerica|q15COL4_Total119119|q15COL4_Total|CURRENCY|NA: TOTAL Joint ventures and club deals|31_32
q15COL5_Total_northamerica|_northamerica|q15COL5_Total120120|q15COL5_Total|CURRENCY|NA: TOTAL Funds of funds|31_33
q15COL6_Total_northamerica|_northamerica|q15COL6_Total121121|q15COL6_Total|CURRENCY|NA: TOTAL Non-listed debt products|31_34
q15GRANDTotal_northamerica|_northamerica|q15GRANDTotal122122|q15GRANDTotal|CURRENCY|NA: Total Capital Raised in 2020 for your North American strategy|31_35
Global_global|_global|Global|Global|||
_global|_global||||For your Global strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by investor type (million)?|32
q101_1_global|_global|q101_1219|q101_1|CURRENCY|GLOBAL: Pension funds - Non-listed/ commingled real estate funds/private REITs|32_1
q101_2_global|_global|q101_2220|q101_2|CURRENCY|GLOBAL: Pension funds - Separate accounts investing directly into real estate|32_2
q101_3_global|_global|q101_3221|q101_3|CURRENCY|GLOBAL: Pension funds - Separate accounts investing into indirect vehicles|32_3
q101_4_global|_global|q101_4222|q101_4|CURRENCY|GLOBAL: Pension funds - Joint ventures and club deals|32_4
q101_5_global|_global|q101_5223|q101_5|CURRENCY|GLOBAL: Pension funds - Funds of funds|32_5
q101_6_global|_global|q101_6224|q101_6|CURRENCY|GLOBAL: Pension funds - Non-listed debt products|32_6
q10ROW1_Total_global|_global|q10ROW1_hidden225|q10ROW1_Total|CURRENCY|GLOBAL: Pension funds - TOTAL|32_7
q102_1_global|_global|q102_1226|q102_1|CURRENCY|GLOBAL: Insurance companies - Non-listed/ commingled real estate funds/private REITs|32_8
q102_2_global|_global|q102_2227|q102_2|CURRENCY|GLOBAL: Insurance companies - Separate accounts investing directly into real estate|32_9
q102_3_global|_global|q102_3228|q102_3|CURRENCY|GLOBAL: Insurance companies - Separate accounts investing into indirect vehicles|32_10
q102_4_global|_global|q102_4229|q102_4|CURRENCY|GLOBAL: Insurance companies - Joint ventures and club deals|32_11
q102_5_global|_global|q102_5230|q102_5|CURRENCY|GLOBAL: Insurance companies - Funds of funds|32_12
q102_6_global|_global|q102_6231|q102_6|CURRENCY|GLOBAL: Insurance companies - Non-listed debt products|32_13
q10ROW2_Total_global|_global|q10ROW2_hidden232|q10ROW2_Total|CURRENCY|GLOBAL: Insurance companies - TOTAL|32_14
q103_1_global|_global|q103_1233|q103_1|CURRENCY|GLOBAL: Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|32_15
q103_2_global|_global|q103_2234|q103_2|CURRENCY|GLOBAL: Sovereign wealth funds - Separate accounts investing directly into real estate|32_16
q103_3_global|_global|q103_3235|q103_3|CURRENCY|GLOBAL: Sovereign wealth funds - Separate accounts investing into indirect vehicles|32_17
q103_4_global|_global|q103_4236|q103_4|CURRENCY|GLOBAL: Sovereign wealth funds - Joint ventures and club deals|32_18
q103_5_global|_global|q103_5237|q103_5|CURRENCY|GLOBAL: Sovereign wealth funds - Funds of funds|32_19
q103_6_global|_global|q103_6238|q103_6|CURRENCY|GLOBAL: Sovereign wealth funds - Non-listed debt products|32_20
q10ROW3_Total_global|_global|q10ROW3_hidden239|q10ROW3_Total|CURRENCY|GLOBAL: Sovereign wealth funds - TOTAL|32_21
q104_1_global|_global|q104_1240|q104_1|CURRENCY|GLOBAL: Government institutions - Non-listed/ commingled real estate funds/private REITs|32_22
q104_2_global|_global|q104_2241|q104_2|CURRENCY|GLOBAL: Government institutions - Separate accounts investing directly into real estate|32_23
q104_3_global|_global|q104_3242|q104_3|CURRENCY|GLOBAL: Government institutions - Separate accounts investing into indirect vehicles|32_24
q104_4_global|_global|q104_4243|q104_4|CURRENCY|GLOBAL: Government institutions - Joint ventures and club deals|32_25
q104_5_global|_global|q104_5244|q104_5|CURRENCY|GLOBAL: Government institutions - Funds of funds|32_26
q104_6_global|_global|q104_6245|q104_6|CURRENCY|GLOBAL: Government institutions - Non-listed debt products|32_27
q10ROW4_Total_global|_global|q10ROW4_hidden246|q10ROW4_Total|CURRENCY|GLOBAL: Government institutions - TOTAL|32_28
q105_1_global|_global|q105_1247|q105_1|CURRENCY|GLOBAL: Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|32_29
q105_2_global|_global|q105_2248|q105_2|CURRENCY|GLOBAL: Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|32_30
q105_3_global|_global|q105_3249|q105_3|CURRENCY|GLOBAL: Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|32_31
q105_4_global|_global|q105_4250|q105_4|CURRENCY|GLOBAL: Charities, foundations, non-profit organisations - Joint ventures and club deals|32_32
q105_5_global|_global|q105_5251|q105_5|CURRENCY|GLOBAL: Charities, foundations, non-profit organisations - Funds of funds|32_33
q105_6_global|_global|q105_6252|q105_6|CURRENCY|GLOBAL: Charities, foundations, non-profit organisations - Non-listed debt products|32_34
q10ROW5_Total_global|_global|q10ROW5_hidden253|q10ROW5_Total|CURRENCY|GLOBAL: Charities, foundations, non-profit organisations - TOTAL|32_35
q106_1_global|_global|q106_1254|q106_1|CURRENCY|GLOBAL: Funds of funds - Non-listed/ commingled real estate funds/private REITs|32_36
q106_2_global|_global|q106_2255|q106_2|CURRENCY|GLOBAL: Funds of funds - Separate accounts investing directly into real estate|32_37
q106_3_global|_global|q106_3256|q106_3|CURRENCY|GLOBAL: Funds of funds - Separate accounts investing into indirect vehicles|32_38
q106_4_global|_global|q106_4257|q106_4|CURRENCY|GLOBAL: Funds of funds - Joint ventures and club deals|32_39
q106_5_global|_global|q106_5258|q106_5|CURRENCY|GLOBAL: Funds of funds - Funds of funds|32_40
q106_6_global|_global|q106_6259|q106_6|CURRENCY|GLOBAL: Funds of funds - Non-listed debt products|32_41
q10ROW6_Total_global|_global|q10ROW6_hidden260|q10ROW6_Total|CURRENCY|GLOBAL: Funds of funds - TOTAL|32_42
q107_1_global|_global|q107_1261|q107_1|CURRENCY|GLOBAL: High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|32_43
q107_2_global|_global|q107_2262|q107_2|CURRENCY|GLOBAL: High net worth individuals /Family offices - Separate accounts investing directly into real estate|32_44
q107_3_global|_global|q107_3263|q107_3|CURRENCY|GLOBAL: High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|32_45
q107_4_global|_global|q107_4264|q107_4|CURRENCY|GLOBAL: High net worth individuals /Family offices - Joint ventures and club deals|32_46
q107_5_global|_global|q107_5265|q107_5|CURRENCY|GLOBAL: High net worth individuals /Family offices - Funds of funds|32_47
q107_6_global|_global|q107_6266|q107_6|CURRENCY|GLOBAL: High net worth individuals /Family offices - Non-listed debt products|32_48
q10ROW7_Total_global|_global|q10ROW7_hidden267|q10ROW7_Total|CURRENCY|GLOBAL: High net worth individuals /Family offices - TOTAL|32_49
q10other_global|_global|q10other268|q10other|TEXT|GLOBAL: Other investor type (Other)|32_50
q108_1_global|_global|q108_1269|q108_1|CURRENCY|GLOBAL: Other - Non-listed/ commingled real estate funds/private REITs|32_51
q108_2_global|_global|q108_2270|q108_2|CURRENCY|GLOBAL: Other - Separate accounts investing directly into real estate|32_52
q108_3_global|_global|q108_3271|q108_3|CURRENCY|GLOBAL: Other - Separate accounts investing into indirect vehicles|32_53
q108_4_global|_global|q108_4272|q108_4|CURRENCY|GLOBAL: Other - Joint ventures and club deals|32_54
q108_5_global|_global|q108_5273|q108_5|CURRENCY|GLOBAL: Other - Funds of funds|32_55
q108_6_global|_global|q108_6274|q108_6|CURRENCY|GLOBAL: Other - Non-listed debt products|32_56
q10ROW8_Total_global|_global|q10ROW8_hidden275|q10ROW8_Total|CURRENCY|GLOBAL: Other - TOTAL|32_57
q10COL1_Total_global|_global|q10COL1_hidden276|q10COL1_Total|CURRENCY|GLOBAL TOTAL - Non-listed/ commingled real estate funds/private REITs|32_58
q10COL2_Total_global|_global|q10COL2_hidden277|q10COL2_Total|CURRENCY|GLOBAL TOTAL - Separate accounts investing directly into real estate|32_59
q10COL3_Total_global|_global|q10COL3_hidden278|q10COL3_Total|CURRENCY|GLOBAL TOTAL - Separate accounts investing into indirect vehicles|32_60
q10COL4_Total_global|_global|q10COL4_hidden279|q10COL4_Total|CURRENCY|GLOBAL TOTAL - Joint ventures and club deals|32_61
q10COL5_Total_global|_global|q10COL5_hidden280|q10COL5_Total|CURRENCY|GLOBAL TOTAL - Funds of funds|32_62
q10COL6_Total_global|_global|q10COL6_hidden281|q10COL6_Total|CURRENCY|GLOBAL TOTAL - Non-listed debt products|32_63
q10GRANDTotal_global|_global|q10GRANDTotal_hidden282|q10GRANDTotal|CURRENCY|GLOBAL TOTAL Capital Raised in 2020 for your Global strategy by investor type|32_64
_global|_global||||For your Global strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by investor domicile (million)?|33
q111_1_global|_global|q111_1283|q111_1|CURRENCY|GLOBAL: Asia Pacific - Non-listed/ commingled real estate funds/private REITs|33_1
q111_2_global|_global|q111_2284|q111_2|CURRENCY|GLOBAL: Asia Pacific - Separate accounts investing directly into real estate|33_2
q111_3_global|_global|q111_3285|q111_3|CURRENCY|GLOBAL: Asia Pacific - Separate accounts investing into indirect vehicles|33_3
q111_4_global|_global|q111_4286|q111_4|CURRENCY|GLOBAL: Asia Pacific - Joint ventures and club deals|33_4
q111_5_global|_global|q111_5287|q111_5|CURRENCY|GLOBAL: Asia Pacific - Funds of funds|33_5
q111_6_global|_global|q111_6288|q111_6|CURRENCY|GLOBAL: Asia Pacific - Non-listed debt products|33_6
q11ROW1_Total_global|_global|q11ROW1_hidden289|q11ROW1_Total|CURRENCY|GLOBAL: Asia Pacific - TOTAL|33_7
q112_1_global|_global|q112_1290|q112_1|CURRENCY|GLOBAL: Europe - Non-listed/ commingled real estate funds/private REITs|33_8
q112_2_global|_global|q112_2291|q112_2|CURRENCY|GLOBAL: Europe - Separate accounts investing directly into real estate|33_9
q112_3_global|_global|q112_3292|q112_3|CURRENCY|GLOBAL: Europe - Separate accounts investing into indirect vehicles|33_10
q112_4_global|_global|q112_4293|q112_4|CURRENCY|GLOBAL: Europe - Joint ventures and club deals|33_11
q112_5_global|_global|q112_5294|q112_5|CURRENCY|GLOBAL: Europe - Funds of funds|33_12
q112_6_global|_global|q112_6295|q112_6|CURRENCY|GLOBAL: Europe - Non-listed debt products|33_13
q11ROW2_Total_global|_global|q11ROW2_hidden296|q11ROW2_Total|CURRENCY|GLOBAL: Europe - TOTAL|33_14
q113_1_global|_global|q113_1297|q113_1|CURRENCY|GLOBAL: North America - Non-listed/ commingled real estate funds/private REITs|33_15
q113_2_global|_global|q113_2298|q113_2|CURRENCY|GLOBAL: North America - Separate accounts investing directly into real estate|33_16
q113_3_global|_global|q113_3299|q113_3|CURRENCY|GLOBAL: North America - Separate accounts investing into indirect vehicles|33_17
q113_4_global|_global|q113_4300|q113_4|CURRENCY|GLOBAL: North America - Joint ventures and club deals|33_18
q113_5_global|_global|q113_5301|q113_5|CURRENCY|GLOBAL: North America - Funds of funds|33_19
q113_6_global|_global|q113_6302|q113_6|CURRENCY|GLOBAL: North America - Non-listed debt products|33_20
q11ROW3_Total_global|_global|q11ROW3_hidden303|q11ROW3_Total|CURRENCY|GLOBAL: North America - TOTAL|33_21
q114_1_global|_global|q114_1304|q114_1|CURRENCY|GLOBAL: South America - Non-listed/ commingled real estate funds/private REITs|33_22
q114_2_global|_global|q114_2305|q114_2|CURRENCY|GLOBAL: South America - Separate accounts investing directly into real estate|33_23
q114_3_global|_global|q114_3306|q114_3|CURRENCY|GLOBAL: South America - Separate accounts investing into indirect vehicles|33_24
q114_4_global|_global|q114_4307|q114_4|CURRENCY|GLOBAL: South America - Joint ventures and club deals|33_25
q114_5_global|_global|q114_5308|q114_5|CURRENCY|GLOBAL: South America - Funds of funds|33_26
q114_6_global|_global|q114_6309|q114_6|CURRENCY|GLOBAL: South America - Non-listed debt products|33_27
q11ROW4_Total_global|_global|q11ROW4_hidden310|q11ROW4_Total|CURRENCY|GLOBAL: South America - TOTAL|33_28
q115_1_global|_global|q115_1311|q115_1|CURRENCY|GLOBAL: Africa - Non-listed/ commingled real estate funds/private REITs|33_29
q115_2_global|_global|q115_2312|q115_2|CURRENCY|GLOBAL: Africa - Separate accounts investing directly into real estate|33_30
q115_3_global|_global|q115_3313|q115_3|CURRENCY|GLOBAL: Africa - Separate accounts investing into indirect vehicles|33_31
q115_4_global|_global|q115_4314|q115_4|CURRENCY|GLOBAL: Africa - Joint ventures and club deals|33_32
q115_5_global|_global|q115_5315|q115_5|CURRENCY|GLOBAL: Africa - Funds of funds|33_33
q115_6_global|_global|q115_6316|q115_6|CURRENCY|GLOBAL: Africa - Non-listed debt products|33_34
q11ROW5_Total_global|_global|q11ROW5_hidden317|q11ROW5_Total|CURRENCY|GLOBAL: Africa - TOTAL|33_35
q11COL1_Total_global|_global|q11COL1_hidden318|q11COL1_Total|CURRENCY|GLOBAL: TOTAL - Non-listed/ commingled real estate funds/private REITs|33_36
q11COL2_Total_global|_global|q11COL2_hidden319|q11COL2_Total|CURRENCY|GLOBAL: TOTAL - Separate accounts investing directly into real estate|33_37
q11COL3_Total_global|_global|q11COL3_hidden320|q11COL3_Total|CURRENCY|GLOBAL: TOTAL - Separate accounts investing into indirect vehicles|33_38
q11COL4_Total_global|_global|q11COL4_hidden321|q11COL4_Total|CURRENCY|GLOBAL: TOTAL - Joint ventures and club deals|33_39
q11COL5_Total_global|_global|q11COL5_hidden322|q11COL5_Total|CURRENCY|GLOBAL: TOTAL - Funds of funds|33_40
q11COL6_Total_global|_global|q11COL6_hidden323|q11COL6_Total|CURRENCY|GLOBAL: TOTAL - Non-listed debt products|33_41
q11GRANDTotal_global|_global|q11GRANDTotal_hidden324|q11GRANDTotal|CURRENCY|GLOBAL TOTAL Capital Raised in 2020 for your Global strategy by investor domicile|33_42
q12_global|_global|q12222|q12|SINGLE|For your Global strategy*, for which sector-strategy did your company raise institutional capital for non-listed vehicles in 2020?|34
_global|_global||||For your Global strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by targeted multi-sector (million)?|35
q131_1_global|_global|q131_1333|q131_1|CURRENCY|GLOBAL: Main sectors - Non-listed/ commingled real estate funds/private REITs|35_1
q131_2_global|_global|q131_2444|q131_2|CURRENCY|GLOBAL: Main sectors - Separate accounts investing directly into real estate|35_2
q131_3_global|_global|q131_3555|q131_3|CURRENCY|GLOBAL: Main sectors - Separate accounts investing into indirect vehicles|35_3
q131_4_global|_global|q131_4666|q131_4|CURRENCY|GLOBAL: Main sectors - Joint ventures and club deals|35_4
q131_5_global|_global|q131_5777|q131_5|CURRENCY|GLOBAL: Main sectors - Funds of funds|35_5
q131_6_global|_global|q131_6888|q131_6|CURRENCY|GLOBAL: Main sectors - Non-listed debt products|35_6
q13ROW1_Total_global|_global|q13ROW1_Total999|q13ROW1_Total|CURRENCY|GLOBAL: TOTAL - Main sectors |35_7
q132_1_global|_global|q132_1101010|q132_1|CURRENCY|GLOBAL:  Alternative sectors - Non-listed/ commingled real estate funds/private REITs|35_8
q132_2_global|_global|q132_2111111|q132_2|CURRENCY|GLOBAL:  Alternative sectors - Separate accounts investing directly into real estate|35_9
q132_3_global|_global|q132_3121212|q132_3|CURRENCY|GLOBAL:  Alternative sectors - Separate accounts investing into indirect vehicles|35_10
q132_4_global|_global|q132_4131313|q132_4|CURRENCY|GLOBAL:  Alternative sectors - Joint ventures and club deals|35_11
q132_5_global|_global|q132_5141414|q132_5|CURRENCY|GLOBAL:  Alternative sectors - Funds of funds|35_12
q132_6_global|_global|q132_6151515|q132_6|CURRENCY|GLOBAL:  Alternative sectors - Non-listed debt products|35_13
q13ROW2_Total_global|_global|q13ROW2_Total161616|q13ROW2_Total|CURRENCY|GLOBAL:  TOTAL - Alternative sectors|35_14
q13COL1_Total_global|_global|q13COL1_Total171717|q13COL1_Total|CURRENCY|GLOBAL: TOTAL - Non-listed/ commingled real estate funds/private REITs|35_15
q13COL2_Total_global|_global|q13COL2_Total181818|q13COL2_Total|CURRENCY|GLOBAL: TOTAL - Separate accounts investing directly into real estate|35_16
q13COL3_Total_global|_global|q13COL3_Total191919|q13COL3_Total|CURRENCY|GLOBAL: TOTAL - Separate accounts investing into indirect vehicles|35_17
q13COL4_Total_global|_global|q13COL4_Total202020|q13COL4_Total|CURRENCY|GLOBAL: TOTAL - Joint ventures and club deals|35_18
q13COL5_Total_global|_global|q13COL5_Total212121|q13COL5_Total|CURRENCY|GLOBAL: TOTAL - Funds of funds|35_19
q13COL6_Total_global|_global|q13COL6_Total222222|q13COL6_Total|CURRENCY|GLOBAL: TOTAL - Non-listed debt products|35_20
q13GRANDTotal_global|_global|q13GRANDTotal232323|q13GRANDTotal|CURRENCY|GLOBAL TOTAL Raised by targeted multi-sector|35_21
_global|_global||||For your Global strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by targeted sector (million)?|36
q141_1_global|_global|q141_1242424|q141_1|CURRENCY|GLOBAL: Office - Non-listed/ commingled real estate funds/private REITs|36_1
q141_2_global|_global|q141_2252525|q141_2|CURRENCY|GLOBAL: Office - Separate accounts investing directly into real estate|36_2
q141_3_global|_global|q141_3262626|q141_3|CURRENCY|GLOBAL: Office - Separate accounts investing into indirect vehicles|36_3
q141_4_global|_global|q141_4272727|q141_4|CURRENCY|GLOBAL: Office - Joint ventures and club deals|36_4
q141_5_global|_global|q141_5282828|q141_5|CURRENCY|GLOBAL: Office - Funds of funds|36_5
q141_6_global|_global|q141_6292929|q141_6|CURRENCY|GLOBAL: Office - Non-listed debt products|36_6
q14ROW1_Total_global|_global|q14ROW1_Total303030|q14ROW1_Total|CURRENCY|GLOBAL: TOTAL Office|36_7
q142_1_global|_global|q142_1313131|q142_1|CURRENCY|GLOBAL: Retail - Non-listed/ commingled real estate funds/private REITs|36_8
q142_2_global|_global|q142_2323232|q142_2|CURRENCY|GLOBAL: Retail - Separate accounts investing directly into real estate|36_9
q142_3_global|_global|q142_3333333|q142_3|CURRENCY|GLOBAL: Retail - Separate accounts investing into indirect vehicles|36_10
q142_4_global|_global|q142_4343434|q142_4|CURRENCY|GLOBAL: Retail - Joint ventures and club deals|36_11
q142_5_global|_global|q142_5353535|q142_5|CURRENCY|GLOBAL: Retail - Funds of funds|36_12
q142_6_global|_global|q142_6363636|q142_6|CURRENCY|Non-listed debt products|36_13
q14ROW2_Total_global|_global|q14ROW2_Total373737|q14ROW2_Total|CURRENCY|GLOBAL: TOTAL Retail|36_14
q143_1_global|_global|q143_1383838|q143_1|CURRENCY|GLOBAL: Industrial / logistics - Non-listed/ commingled real estate funds/private REITs|36_15
q143_2_global|_global|q143_2393939|q143_2|CURRENCY|GLOBAL: Industrial / logistics - Separate accounts investing directly into real estate|36_16
q143_3_global|_global|q143_3404040|q143_3|CURRENCY|GLOBAL: Industrial / logistics - Separate accounts investing into indirect vehicles|36_17
q143_4_global|_global|q143_4414141|q143_4|CURRENCY|GLOBAL: Industrial / logistics - Joint ventures and club deals|36_18
q143_5_global|_global|q143_5424242|q143_5|CURRENCY|GLOBAL: Industrial / logistics - Funds of funds|36_19
q143_6_global|_global|q143_6434343|q143_6|CURRENCY|GLOBAL: Industrial / logistics - Non-listed debt products|36_20
q14ROW3_Total_global|_global|q14ROW3_Total444444|q14ROW3_Total|CURRENCY|GLOBAL: TOTAL Industrial / logistics|36_21
